Arsenal FC,38,26,9,3,43,87
Liverpool FC,38,24,8,6,37,80
Manchester United,38,24,5,9,42,77
Newcastle United,38,21,8,9,22,71
Leeds United,38,18,12,8,16,66
Chelsea FC,38,17,13,8,28,64
West Ham United,38,15,8,15,-9,53
Aston Villa,38,12,14,12,-1,50
Tottenham Hotspur,38,14,8,16,-4,50
Blackburn Rovers,38,12,10,16,4,46
Southampton FC,38,12,9,17,-8,45
Middlesbrough FC,38,12,9,17,-12,45
Fulham FC,38,10,14,14,-8,44
Charlton Athletic,38,10,14,14,-11,44
Everton FC,38,11,10,17,-12,43
Bolton Wanderers,38,9,13,16,-18,40
Sunderland AFC,38,10,10,18,-22,40
Ipswich Town,38,9,9,20,-23,36
Derby County,38,8,6,24,-30,30
Leicester City,38,5,13,20,-34,28
