Manchester United,38,27,6,5,58,87
Chelsea FC,38,25,10,3,39,85
Arsenal FC,38,24,11,3,43,83
Liverpool FC,38,21,13,4,39,76
Everton FC,38,19,8,11,22,65
Aston Villa,38,16,12,10,20,60
Blackburn Rovers,38,15,13,10,2,58
Portsmouth FC,38,16,9,13,8,57
Manchester City,38,15,10,13,-8,55
West Ham United,38,13,10,15,-8,49
Tottenham Hotspur,38,11,13,14,5,46
Newcastle United,38,11,10,17,-20,43
Middlesbrough FC,38,10,12,16,-10,42
Wigan Athletic,38,10,10,18,-17,40
Sunderland AFC,38,11,6,21,-23,39
Bolton Wanderers,38,9,10,19,-18,37
Fulham FC,38,8,12,18,-22,36
Reading FC,38,10,6,22,-25,36
Birmingham City,38,8,11,19,-16,35
Derby County,38,1,8,29,-69,11
